file,n_probe,rank_r,layer_group,seed,layer_used,heldout_lang_acc,complement_acc,principal_angle_median_cos,predicate_pass
results/m1/n1000_r4_early_s43.npz,1000,4,early,43,6,0.45909090909090905,0.8545454545454546,0.11586903035640717,False
results/m1/n1000_r4_early_s44.npz,1000,4,early,44,6,0.5545454545454546,0.8318181818181817,0.1199721246957779,False
results/m1/n1000_r4_mid_s42.npz,1000,4,mid,42,18,0.4272727272727273,0.7727272727272727,0.13550911843776703,False
results/m1/n1000_r4_mid_s43.npz,1000,4,mid,43,18,0.4772727272727273,0.7045454545454546,0.1188201755285263,False
results/m1/n1000_r4_mid_s44.npz,1000,4,mid,44,18,0.4272727272727273,0.7227272727272728,0.13469822704792023,False
results/m1/n1000_r8_all_non_upper_s42.npz,1000,8,all_non_upper,42,14,0.7272727272727273,0.46818181818181814,0.11941066384315491,False
results/m1/n1000_r8_all_non_upper_s43.npz,1000,8,all_non_upper,43,14,0.7136363636363637,0.4454545454545454,0.1130901351571083,False
results/m1/n1000_r8_all_non_upper_s44.npz,1000,8,all_non_upper,44,14,0.6909090909090909,0.48636363636363633,0.11346418410539627,False
results/m1/n1000_r8_early_s42.npz,1000,8,early,42,6,0.8181818181818182,0.5954545454545453,0.0797608345746994,False
results/m1/n1000_r8_early_s43.npz,1000,8,early,43,6,0.8363636363636364,0.5499999999999999,0.07965536415576935,False
results/m1/n1000_r8_early_s44.npz,1000,8,early,44,6,0.790909090909091,0.5136363636363636,0.08310600370168686,False
results/m1/n1000_r8_mid_s42.npz,1000,8,mid,42,18,0.6863636363636364,0.48636363636363633,0.11269229650497437,False
results/m1/n1000_r8_mid_s43.npz,1000,8,mid,43,18,0.7227272727272728,0.4090909090909091,0.12681810557842255,False
results/m1/n1000_r8_mid_s44.npz,1000,8,mid,44,18,0.7181818181818183,0.45454545454545453,0.13276179134845734,False
results/m1/n100_r16_all_non_upper_s42.npz,100,16,all_non_upper,42,14,0.8454545454545456,0.5954545454545456,0.13839931786060333,False
results/m1/n100_r16_all_non_upper_s43.npz,100,16,all_non_upper,43,14,0.8318181818181817,0.6772727272727272,0.1349233090877533,False
results/m1/n100_r16_all_non_upper_s44.npz,100,16,all_non_upper,44,14,0.7818181818181817,0.6545454545454545,0.1116359680891037,False
results/m1/n100_r16_early_s42.npz,100,16,early,42,6,0.95,0.7136363636363637,0.11453743278980255,False
results/m1/n100_r16_early_s43.npz,100,16,early,43,6,0.9545454545454546,0.7136363636363637,0.12497022747993469,False
results/m1/n100_r16_early_s44.npz,100,16,early,44,6,0.9272727272727274,0.6863636363636363,0.09560221433639526,False
results/m1/n100_r16_mid_s42.npz,100,16,mid,42,18,0.7636363636363637,0.6363636363636364,0.14292864501476288,False
results/m1/n100_r16_mid_s43.npz,100,16,mid,43,18,0.7181818181818183,0.6181818181818182,0.13158069550991058,False
results/m1/n100_r16_mid_s44.npz,100,16,mid,44,18,0.7045454545454546,0.6090909090909091,0.12054833769798279,False
results/m1/n100_r1_all_non_upper_s42.npz,100,1,all_non_upper,42,14,0.17272727272727273,0.9272727272727272,0.34910762310028076,False
results/m1/n100_r1_all_non_upper_s43.npz,100,1,all_non_upper,43,14,0.15454545454545457,0.9045454545454544,0.2587512135505676,False
results/m1/n100_r1_all_non_upper_s44.npz,100,1,all_non_upper,44,14,0.16818181818181818,0.881818181818182,0.2251928150653839,False
results/m1/n100_r1_early_s42.npz,100,1,early,42,6,0.17727272727272728,0.9772727272727273,0.2528054118156433,False
results/m1/n100_r1_early_s43.npz,100,1,early,43,6,0.17727272727272728,0.9545454545454546,0.07079976052045822,False
results/m1/n100_r1_early_s44.npz,100,1,early,44,6,0.18181818181818182,0.9545454545454546,0.07201595604419708,False
results/m1/n100_r1_mid_s42.npz,100,1,mid,42,18,0.16818181818181818,0.9,0.3012215495109558,False
results/m1/n100_r1_mid_s43.npz,100,1,mid,43,18,0.17727272727272728,0.8545454545454546,0.28266826272010803,False
results/m1/n100_r1_mid_s44.npz,100,1,mid,44,18,0.18181818181818182,0.859090909090909,0.15640780329704285,False
results/m1/n100_r2_all_non_upper_s42.npz,100,2,all_non_upper,42,14,0.24545454545454548,0.8954545454545453,0.17943480610847473,False
